file_hash,windows_executable_count,BEH_osmodify,BEH_coinstealer,BEH_mining,BEH_proxy,BEH_filecrypt,BEH_selfpropagate,BEH_autorun,BEH_clicks,BEH_filemodify,BEH_toolbar,BEH_ddos,BEH_killsectool,BEH_browsermodify,BEH_spam,BEH_jswebinject,BEH_bitcoinmining,BEH_infosteal,BEH_alertuser,BEH_keylogging,BEH_execdownload,BEH_killproc,BEH_dials,BEH_gamethief,BEH_servstart,BEH_server,BEH_inject,BEH_irc,FILE_installer,FILE_shellcode,FILE_proglang:autoit,FILE_packed:enigma,FILE_proglang:delphi,FILE_small,FILE_packed:themida,FILE_exploit,FILE_proglang:powershell,FILE_corrupted,FILE_proglang:python,FILE_proglang:visualbasic,FILE_msil,FILE_packed:vmprotect,FILE_bundle,FILE_packed,multiclass_label
014baff67d68382816ce2e00ec6dea7b,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_virus
014bb90a72c228e9fe67a4f01b40a6d7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_grayware
014c4b97d3562a71a2e67816b7601eba,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CLASS_spyware
0152682a0a3c588df8358af54c7478b8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,CLASS_spyware
01533dfa317cceac9148261db0e5afb4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CLASS_spyware
015a345571d4d44c4285a11d2e79b57c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_grayware
015e9aece1f66664eeb0f2ba7e1ded69,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CLASS_downloader
015ffe53bd52014484e7dfa79329983c,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_backdoor
0161140a0dda68c5c083ed947332fd61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_grayware
0167f954773496f353149eaf765ff660,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_downloader
